Placeholder Header,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Material,Atmosphere,Mass,Tube Diam,Pretreat_voltage,Pretreat_highest,Voltage,PulseTime,Res_Volt,Cap,Init_R,Fin_R,Volt_Drop,Res_Drop,Yield,Yield_Per,I_Max,I_Mean,Charge_Tot,PulseTime_I,I_Final,Maxima,Graphene_Yield,TwoDtoG,DtoG,FWHM 2D
111,PA,vac,273,8,295,125,209,198,46.3,132,4.8,0.7,162.7,4.1,197,72.16117216,471.1101,119.5151269,21.5958951,0.1818,27.72643613,2,0.787878788,0.733326251,0.448719416,42.74589421
112,PA,vac,348,8,200,120,209,202,77.6,150,4.8,0.8,131.4,4,205,58.90804598,383.9865,135.5257306,23.57412172,0.1743,35.65614367,2,0.707070707,0.680550595,0.474430189,43.15055719
113,PA,vac,310,8,210,110,196,179,56.1,114,6.7,1.1,139.9,5.6,198,63.87096774,286.5456,112.5933293,18.12703919,0.1621,24.83008162,2,0.878787879,0.765000243,0.430418096,41.67635098
114,PA,vac,245,8,300,100,204,305,23.2,186,4.7,0.6,180.8,4.1,89,36.32653061,461.175,134.7390142,29.15030825,0.21805,11.26894319,4,0.707070707,0.665219813,0.49051577,43.7554946
115,PA,air,212,"8""",240,100,180,500,73.3,114,16.2,3,106.7,13.2,138,0.650943396,247.5693,39.54282475,18.79817592,0.48035,14.43591994,5,0.769230769,0.656134378,0.398971346,43.75736672
116,PA,air,321,"8""",240,100,160,220,54,114,7.6,1,106,6.6,100,0.31152648,223.1135,93.74351949,18.86062885,0.2028,33.50854326,4,0.492753623,0.601806211,0.513293612,38.07293393
117,MC,vac,302,8,200,125,217,178,6.9,114,0.3,0.2,210.1,0.1,268,0.887417219,605.2346,182.1463625,28.36858626,0.1564,18.58859069,1,0.303030303,0.483977555,0.559179807,40.42544106
118,MC,vac,268,8,260,110,205,142,50.7,132,0.2,0.2,154.3,0,154,0.574626866,633.1295,160.0328942,20.23482634,0.12685,98.50127074,3,0.353535354,0.59392871,0.52544447,37.52526142
119,MC,vac,288,8,140,95,196,168,77.8,96,0.3,0.2,118.2,0.1,225,0.78125,545.2416,106.4393176,15.69382326,0.1512,36.58293907,4,0.535353535,0.563758495,0.535672202,40.71768105
120,MC,vac,303,8,180,100,182,194,3.9,114,0.4,0.2,178.1,0.2,254,0.838283828,468.8174,136.7058171,24.20996608,0.17805,14.01990581,2,0.161616162,0.528269544,0.589443731,36.90355553
